"Colaborador","Frecuencia"
"Lailut, Mara",1
"Langlois, Gabriel",1
"Larreta, José de",1
"Latino",1
"Latorre, Luis M.",1
"Latorre, R. M. de",1
"Le Blond, M.",1
"Le Bon, Gustave",1
"Lébre",1
"Lebret",1
"Leiva, Nicolás",1
"León, J. Eusebio",1
"León, Lino M. de",1
"Lewandowski, C.",1
"Leyva Pereira, Lisandro",1
"Linares, Antonio G. de",1
"Line, Mary",1
"Lino Sutil",1
"Lis Albo",1
"Lizardo, Pedro",1
"LL. RR",1
"Llano Uribe, Manuel",1
"Lleras, Enrique",1
"Loebel, Rosa Elena",1
"Lofey, Carlos",1
"Loiseau, G.",1
"Loncel, Jorge",1
"Londoño C., Ausberta",1
"Londoño Villegas, A.",1
"Londoño, Asennett",1
"Londoño, J. B.",1
"Longo",1
"Lopera Berrío, Emilia",1
"López C., Ricardo",1
"López Iriarte, E.",1
"López, Alejandro",1
"López, Samuel",1
"Lorenzana Uribe, Fernán",1
"Lorenzana, Máximo",1
"Lorrain, Jean",1
"Louis, Thomas",1
"Lozano, Alberto",1
"Lugo, Silvio",1
"Luneta, José",1
"Lyly, Jhon",1
"M. J. R.",1
"M.S.",1
"M.V.L",1
"M.V.O",1
"Macdonald, R. George",1
"Machado, Mariana",1
"Macia, Carlos",1
"Madaline, Juan",1
"Madrid, Gerardo",1
"Maeterlinck, A.",1
"Majocch, María P.",1
"Malagrida, Luis de",1
"Mallarino, Julio D.",1
"Mancio, A.",1
"Manrique, Juan E.",1
"Mar, Leonte del",1
"Mariela",1
"Márquez, Tomás",1
"Marry, Julio",1
"Martel, L.",1
"Martín, José",1
"Martínez E., Luis",1
"Martínez Santamaría, Jorge",1
"Martínez Silva, Luis",1
"Martínez, Antonio R.",1
"Martínez, Juan Cristóbal",1
"Martínez, Lola P.",1
"Martínez, Miguel",1
"Marulanda, J. M.",1
"Massé, Pierre Benjamín Daniel",1
"Masterman, C. F. G.",1
"Mateus. Jorge",1
"Maya, Juan F.",1
"Maya, Luz",1
"Maynial, Eduard",1
"Medellín, Miguel",1
"Medina Alfonzo, Arturo",1
"Mejía B., Manuel",1
"Mejía T., J. M.",1
"Mejía Uribe, Graciela",1
"Mejía V., Sebastián",1
"Mejía, Cecilia V.",1
"Méndez, Juan de Dios",1
"Menéndez, José Luis",1
"Mercier, Card",1
"Michaud d'Hamiac, Léon",1
"Mira, José León",1
"Mirón, N.",1
"Molina M., José Luis",1
"Molina, Ana C. de",1
"Mondragón Guerrero, Antonio",1
"Monte, D. L.",1
"Montiel, A.S. de",1
"Montoya D., Epifanio",1
"Montoya, Hernando",1
"Montoya, Mariano",1
"Moore, Thomas",1
"Mora, Félix",1
"Morales, Antonio",1
"Moreno J., Miguel",1
"Moreno Vásquez, Ana",1
"Moreno, Guillermo",1
"Moussy, Martín de",1
"Múnera, Alejandro",1
"Munroo, Alick",1
"Muñoz Arrieta, D.",1
"Muñoz Escamez, José",1
"Muñoz Feijoó, Antonio",1
"Muñoz Londoño, Roberto",1
"Murena, Claudio",1
"Murillo, Ernestro",1
"Mutis, A.",1
"N. C",1
"Nanfa, Crisógono de",1
"Naranjo E., Luis E.",1
"Naranjo V., Luis Carlos",1
"Navas, José Alejandro",1
