NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura Amena,77,"Valencia, Francisco",Creador,NA,Colombia,Las bandolas,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Poesía,NA,NA,NA,2,129-130
Lectura Amena,78,"Groot, José Manuel",Creador,NA,Colombia,Primer monedero falso. En Colombia,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.9,131
Lectura Amena,79,"Marín, Abel",Creador,NA,Colombia,Diciembre,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,131-132
Lectura Amena,80,"Breen, M.",Creador,NA,NA,El rayo de luna,7,24 de diciembre de 1904,1904-12-24,Sí,Anónimo,Español,NA,Prosa Ficción,NA,NA,NA,2.3,132-134
Lectura Amena,81,Anónimo,Creador,NA,NA,De todo,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Prosa No Ficción,De Todo,NA,NA,1.3,134-135
Lectura Amena,82,Anónimo,Creador,NA,NA,NA,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA
Lectura Amena,83,"Nervo, Amado",Creador,NA,México,Colaboración honrosa,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,NA
Lectura Amena,84,"Nervo, Amado",Creador,NA,México,La vieja canción (Inédita),8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.3,136
Lectura Amena,85,"Castro, Alfonso",Creador,NA,Colombia,El triunfo de la vida,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa Ficción,NA,"Montoya, Emilio J",NA,4.6,136-141
Lectura Amena,86,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,Redentores,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Poesía,NA,"Calle, Emilio",NA,1,141-142
Lectura Amena,87,Anónimo,Creador,NA,NA,"Telegramas relativos a la exhumación, conducción y recibimiento de los restos de Jorge Isaacs",8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,142-144
Lectura Amena,88,"Vélez, Bonifacio",Creador,NA,Colombia,Acta de exhumación de los restos de Jorge Isaacs,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,144-145
Lectura Amena,89,"Vélez, Bonifacio",Creador,NA,Colombia,Certificado del gobernador del Tolima,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,145-146
Lectura Amena,90,"Bonis, J. M.",Creador,J.M. Bonis,NA,Carta del Secretario de la Junta Isaacs en Bogotá,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,146
Lectura Amena,91,Anónimo,Creador,NA,NA,Acta,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,147
Lectura Amena,92,"Isaacs, Lisímaco",Creador,NA,Colombia,Discurso del Dr. Lísimaco Isaacs,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,Discurso,NA,NA,0.5,147-148
Lectura Amena,93,"Botero Guerra, Camilo",Creador,NA,Colombia,Discurso del Sr. Camilo Botero Guerra,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,Discurso,NA,NA,2,149-150
Lectura Amena,94,"Cano Gutiérrez, Fidel",Creador,NA,Colombia,Discurso del Sr. Fidel Cano,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,Discurso,NA,NA,1.1,150-151
Lectura Amena,95,Anónimo,Creador,NA,NA,Acta de recepción de los restos de Isaacs,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,Acta,NA,NA,1.5,152-153
Lectura Amena,96,"Fernández Avendaño, Enrique Wenceslao",Creador,NA,Colombia,A Jorge Isaacs (En la recepción de sus restos),8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,153
Lectura Amena,97,"Tablada, José Juan",Creador,NA,México,Onix,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,154
Lectura Amena,98,Anónimo,Creador,NA,NA,De todo,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Prosa No Ficción,De Todo,NA,NA,1,155
Lectura Amena,99,"Zapata A., José Joaquín",Creador,NA,NA,Instituto Girardot,8,15 de enero de 1905,1905-01-15,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA
Lectura Amena,100,"Cano Gutiérrez, Fidel",Creador,NA,Colombia,Noche triste (en la navidad de 1904),9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,NA,NA,2.5,156-158
Lectura Amena,101,"Uribe Mejía, Francisco Antonio",Creador,F.A. Uribe Mejía,Colombia,"Vida Amarga (después de leer ""Noche triste""",9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,159-160
Lectura Amena,102,"Nervo, Amado",Creador,NA,México,Tritoniada,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,NA,NA,1,160-161
Lectura Amena,103,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,Verlaine converso,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,"Amado, Fray",NA,0.5,161
Lectura Amena,104,"Montoya, Antonio José",Creador,NA,Colombia,Juancho Uribe,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Prosa Ficción,NA,"Mesa, Rafael",NA,2.5,163-164
